iter	Passed	Remaining
408	5382	10410
409	5394	10394
410	5427	10419
411	5442	10409
412	5455	10395
413	5468	10381
414	5480	10366
415	5492	10351
416	5505	10337
417	5518	10323
418	5531	10310
419	5543	10295
420	5556	10281
421	5569	10267
422	5582	10253
423	5595	10240
424	5608	10227
425	5621	10214
426	5634	10200
427	5647	10185
428	5660	10173
429	5675	10163
430	5690	10153
431	5703	10140
432	5716	10126
433	5729	10112
434	5742	10098
435	5755	10084
436	5768	10071
437	5780	10056
438	5792	10041
439	5805	10027
440	5818	10013
441	5830	9998
442	5843	9984
443	5855	9970
444	5868	9956
445	5880	9942
446	5894	9928
447	5906	9915
448	5919	9901
449	5933	9888
450	5945	9873
451	5957	9858
452	5970	9845
453	5983	9832
454	5996	9818
455	6008	9803
456	6020	9789
457	6033	9774
458	6046	9761
459	6058	9747
460	6071	9733
461	6083	9718
462	6095	9703
463	6108	9689
464	6121	9675
465	6132	9659
466	6145	9645
467	6157	9630
468	6169	9615
469	6181	9600
470	6193	9586
471	6205	9571
472	6217	9556
473	6236	9551
474	6257	9551
475	6272	9541
476	6288	9530
477	6300	9516
478	6313	9502
479	6325	9488
480	6338	9474
481	6351	9461
482	6363	9446
483	6376	9433
484	6389	9419
485	6402	9405
486	6415	9392
487	6427	9378
488	6441	9365
489	6453	9351
490	6467	9338
491	6481	9326
492	6495	9314
493	6508	9301
494	6522	9289
495	6535	9275
496	6547	9262
497	6560	9248
498	6574	9235
499	6586	9221
500	6598	9206
501	6611	9193
502	6624	9179
503	6637	9166
504	6651	9154
505	6665	9142
506	6677	9127
507	6690	9113
508	6702	9099
509	6714	9084
510	6727	9071
511	6740	9058
512	6753	9044
513	6765	9029
514	6778	9015
515	6791	9002
516	6804	8989
517	6818	8977
518	6830	8963
519	6843	8949
520	6855	8934
521	6867	8920
522	6880	8907
523	6892	8892
524	6905	8878
525	6919	8866
526	6932	8853
527	6945	8839
528	6958	8825
529	6971	8813
530	6985	8801
531	6998	8787
532	7010	8773
533	7022	8759
534	7035	8744
535	7047	8730
536	7059	8716
537	7072	8702
538	7084	8688
539	7096	8673
540	7109	8659
541	7121	8645
542	7132	8630
543	7145	8616
544	7157	8602
545	7170	8588
546	7181	8573
547	7193	8559
548	7206	8545
549	7219	8532
550	7233	8519
551	7247	8507
552	7261	8496
553	7276	8485
554	7292	8475
555	7306	8462
556	7321	8451
557	7336	8441
558	7352	8431
559	7368	8421
560	7383	8409
561	7396	8397
562	7410	8384
563	7424	8372
564	7438	8360
565	7452	8347
566	7466	8336
567	7480	8323
568	7494	8311
569	7509	8299
570	7523	8287
571	7536	8274
572	7549	8261
573	7564	8249
574	7578	8237
575	7592	8225
576	7606	8212
577	7619	8199
578	7634	8188
579	7648	8175
580	7663	8164
581	7677	8152
582	7691	8139
583	7705	8127
584	7719	8115
585	7734	8104
586	7749	8092
587	7765	8082
588	7781	8072
589	7795	8059
590	7809	8047
591	7823	8034
592	7838	8023
593	7855	8014
594	7870	8002
595	7883	7989
596	7897	7976
597	7910	7963
598	7924	7950
599	7939	7939
600	7953	7927
601	7968	7915
602	7983	7903
603	7998	7892
604	8013	7880
605	8027	7868
606	8042	7857
607	8057	7845
608	8072	7833
609	8086	7821
610	8102	7810
611	8116	7797
612	8129	7784
613	8144	7772
614	8158	7760
615	8173	7749
616	8187	7736
617	8201	7723
618	8215	7711
619	8229	7698
620	8243	7686
621	8259	7675
622	8273	7662
623	8287	7649
624	8301	7637
625	8315	7625
626	8330	7612
627	8343	7599
628	8357	7587
629	8372	7574
630	8386	7562
631	8400	7549
632	8414	7536
633	8428	7524
634	8443	7512
635	8457	7500
636	8472	7487
637	8486	7475
638	8499	7462
639	8513	7449
640	8527	7436
641	8541	7424
642	8556	7411
643	8569	7398
644	8669	7459
645	8713	7472
646	8729	7461
647	8790	7488
648	8840	7505
649	8897	7528
650	8945	7543
651	8961	7532
652	8977	7520
653	8991	7506
654	9005	7492
655	9018	7479
656	9033	7465
657	9047	7452
658	9061	7438
659	9097	7443
660	9137	7451
661	9152	7438
662	9167	7425
663	9180	7411
664	9194	7397
665	9209	7384
666	9224	7370
667	9237	7357
668	9251	7343
669	9266	7330
670	9280	7316
671	9294	7302
672	9308	7289
673	9322	7275
674	9336	7261
675	9350	7248
676	9364	7234
677	9378	7220
678	9391	7206
679	9405	7192
680	9419	7178
681	9434	7165
682	9448	7152
683	9462	7138
684	9478	7125
685	9492	7112
686	9506	7099
687	9520	7085
688	9535	7071
689	9550	7058
690	9564	7045
691	9577	7030
692	9591	7017
693	9605	7003
694	9619	6989
695	9633	6976
696	9647	6962
697	9661	6948
698	9675	6934
699	9688	6920
700	9702	6906
701	9716	6892
702	9730	6879
703	9744	6865
704	9760	6853
705	9774	6839
706	9788	6825
707	9801	6811
708	9816	6798
709	9829	6783
710	9843	6769
711	9857	6756
712	9872	6743
713	9886	6729
714	9900	6715
715	9915	6702
716	9929	6688
717	9944	6675
718	9957	6661
719	9971	6647
720	9985	6634
721	9999	6620
722	10013	6606
723	10027	6592
724	10041	6579
725	10055	6565
726	10069	6551
727	10083	6537
728	10098	6524
729	10112	6511
730	10127	6497
731	10141	6483
732	10155	6469
733	10169	6456
734	10183	6442
735	10197	6429
736	10211	6414
737	10225	6401
738	10240	6387
739	10255	6374
740	10269	6361
741	10283	6347
742	10298	6334
743	10311	6320
744	10325	6306
745	10340	6292
746	10354	6279
747	10367	6264
748	10385	6253
749	10403	6242
750	10420	6230
751	10435	6216
752	10449	6203
753	10463	6189
754	10478	6175
755	10492	6162
756	10506	6148
757	10520	6134
758	10534	6121
759	10549	6107
760	10563	6093
761	10577	6079
762	10591	6065
763	10605	6052
764	10619	6038
765	10633	6024
766	10647	6010
767	10661	5997
768	10675	5983
769	10689	5969
770	10704	5956
771	10718	5942
772	10732	5928
773	10745	5914
774	10759	5900
775	10773	5886
776	10787	5872
777	10801	5859
778	10816	5845
779	10830	5831
780	10845	5818
781	10859	5804
782	10873	5791
783	10887	5777
784	10902	5763
785	10915	5749
786	10929	5735
787	10944	5722
788	10957	5708
789	10971	5694
790	10985	5680
791	11000	5666
792	11014	5653
793	11028	5639
794	11043	5625
795	11056	5611
796	11071	5598
797	11085	5584
798	11099	5570
799	11113	5556
800	11127	5542
801	11141	5528
802	11155	5515
803	11169	5501
804	11183	5487
805	11198	5474
806	11211	5460
807	11226	5446
808	11239	5432
809	11254	5418
810	11268	5404
811	11282	5391
812	11297	5377
813	11311	5363
814	11325	5350
815	11339	5336
816	11353	5322
817	11368	5309
818	11383	5295
819	11399	5282
820	11414	5269
821	11428	5255
822	11442	5241
823	11457	5227
824	11471	5214
825	11485	5200
826	11499	5186
827	11513	5172
828	11527	5158
829	11541	5144
830	11554	5130
831	11568	5116
832	11581	5102
833	11595	5088
834	11609	5074
835	11623	5061
836	11637	5047
837	11652	5033
838	11666	5019
839	11681	5006
840	11695	4992
841	11709	4978
842	11723	4964
843	11737	4950
844	11751	4936
845	11765	4923
846	11779	4909
847	11793	4895
848	11807	4881
849	11822	4867
850	11835	4853
851	11849	4839
852	11863	4825
853	11877	4812
854	11890	4798
855	11904	4784
856	11919	4770
857	11932	4756
858	11946	4742
859	11960	4728
860	11973	4714
861	11988	4700
862	12002	4686
863	12016	4673
864	12029	4658
865	12044	4645
866	12058	4631
867	12072	4617
868	12086	4603
869	12100	4589
870	12114	4575
871	12128	4562
872	12142	4548
873	12156	4534
874	12169	4520
875	12184	4506
876	12197	4492
877	12211	4478
878	12225	4464
879	12239	4450
880	12252	4436
881	12267	4422
882	12281	4409
883	12296	4395
884	12310	4381
885	12324	4367
886	12338	4353
887	12352	4340
888	12366	4326
889	12380	4312
890	12395	4298
891	12408	4284
892	12422	4270
893	12435	4256
894	12450	4242
895	12464	4229
896	12478	4215
897	12492	4201
898	12506	4187
899	12520	4173
900	12533	4159
901	12547	4145
902	12561	4131
903	12576	4117
904	12589	4103
905	12603	4089
906	12618	4076
907	12632	4062
908	12646	4048
909	12660	4034
910	12675	4020
911	12688	4006
912	12702	3992
913	12716	3979
914	12730	3965
915	12744	3951
916	12759	3937
917	12772	3923
918	12786	3909
919	12800	3895
920	12814	3881
921	12828	3868
922	12842	3854
923	12855	3840
924	12869	3825
925	12882	3811
926	12896	3797
927	12909	3783
928	12922	3769
929	12936	3755
930	12949	3741
931	12964	3727
932	12978	3714
933	12992	3700
934	13006	3686
935	13020	3672
936	13034	3658
937	13048	3644
938	13061	3630
939	13080	3618
940	13095	3604
941	13109	3590
942	13122	3576
943	13136	3562
944	13150	3548
945	13165	3534
946	13178	3520
947	13191	3506
948	13205	3492
949	13219	3478
950	13233	3464
951	13246	3450
952	13259	3436
953	13274	3422
954	13288	3408
955	13302	3395
956	13315	3381
957	13330	3367
958	13343	3353
959	13357	3339
960	13371	3325
961	13385	3311
962	13398	3297
963	13413	3283
964	13427	3269
965	13441	3255
966	13454	3241
967	13468	3227
968	13481	3213
969	13495	3199
970	13508	3185
971	13522	3171
972	13536	3158
973	13549	3144
974	13563	3129
975	13577	3116
976	13591	3102
977	13605	3088
978	13619	3074
979	13632	3060
980	13646	3046
981	13659	3032
982	13673	3018
983	13686	3004
984	13701	2990
985	13714	2976
986	13728	2962
987	13741	2948
988	13755	2934
989	13768	2920
990	13781	2906
991	13795	2892
992	13808	2878
993	13821	2864
994	13835	2850
995	13848	2836
996	13863	2822
997	13877	2808
998	13890	2794
999	13904	2780
1000	13918	2766
1001	13931	2752
1002	13944	2738
1003	13958	2725
1004	13971	2710
1005	13985	2696
1006	13998	2682
1007	14012	2668
1008	14025	2654
1009	14038	2640
1010	14052	2626
1011	14065	2613
1012	14079	2599
