rowid,star_id,label_raw,period,period_err1,period_err2,t0_bjd,t0_bjd_err1,t0_bjd_err2,dur_h,dur_h_err1,dur_h_err2,depth_ppm,depth_ppm_err1,depth_ppm_err2,ror,ror_err1,ror_err2,rade_Re,a_over_rs,impact,ecc,incl_deg,insol_S,eqt_K,teff_K,logg_cgs,feh_dex,rad_Rs,mass_Ms,age_Gyr,ra_deg,dec_deg,mag_Kepler,label,label_int,period_err_mean,period_rel_err,period_missing,t0_bjd_err_mean,t0_bjd_rel_err,t0_bjd_missing,dur_h_err_mean,dur_h_rel_err,dur_h_missing,depth_ppm_err_mean,depth_ppm_rel_err,depth_ppm_missing,ror_err_mean,ror_rel_err,ror_missing,is_kepler,is_k2,is_tess,depth_from_ror_ppm,depth_consistency,dur_frac,depth_snr,dur_snr,ecc_flag,high_b,mag_T,dist_pc,pm_ra_masyr,pm_dec_masyr,pm_tot,a_over_rs_err1,a_over_rs_err2,a_over_rs_err_mean,a_over_rs_rel_err,a_over_rs_missing
35,10987985,CONFIRMED,16.01308419,4.854e-05,-4.854e-05,176.3608,0.00243,-0.00243,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,0.034369,0.003169,-0.004367,3.1,24.7,0.799,0.0,88.14,29.31,593.0,5015.0,4.499,0.1,0.826,0.785,,297.02563,48.478588,15.39,Confirmed,2.0,4.854e-05,3.0312711420272624e-06,0,0.00243,1.3778572108994742e-05,0,0.0791,0.02429808932850034,0,39.4,0.035118994562795255,0,0.003768,0.10963368151531905,0.0,1,0,0,1181.2281609999998,0.05288186201978757,0.008470677169821753,28.474619289340104,41.155499367888744,0.0,0.0,,,,,,,,,,
36,11018648,CONFIRMED,32.62876672,5.801e-05,-5.801e-05,194.1019,0.00138,-0.00138,4.7971,0.058,-0.058,1804.8,25.4,-25.4,0.03852,0.000971,-0.000365,3.36,53.95,0.021,0.0,89.98,15.55,506.0,5586.0,4.56,-0.3,0.798,0.844,,285.71854,48.505859,15.082,Confirmed,2.0,5.801e-05,1.7778790261307185e-06,0,0.00138,7.109667653948776e-06,0,0.058,0.012090638093848366,0,25.4,0.014073581560283687,0,0.000668,0.017341640706126687,0.0,1,0,0,1483.7903999999999,0.17786436170212772,0.006125857234565643,71.05511811023622,82.70862068965518,0.0,0.0,,,,,,,,,,
37,11018648,CONFIRMED,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,6.473,0.204,-0.204,652.0,36.2,-36.2,0.02432,0.007051,-0.001216,2.12,89.4,0.606,0.0,89.61,3.92,359.0,5586.0,4.56,-0.3,0.798,0.844,,285.71854,48.505859,15.082,Confirmed,2.0,0.0007518,8.191926334223388e-06,0,0.00643,3.317206447865174e-05,0,0.204,0.031515526031206546,0,36.2,0.05552147239263804,0,0.0041335,0.16996299342105262,0.0,1,0,0,591.4624000000001,0.09284907975460105,0.0029388544804373946,18.011049723756905,31.730392156862745,0.0,0.0,,,,,,,,,,
38,11138155,CONFIRMED,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,0.103379,0.001245,-7.4e-05,12.21,12.386,0.831,0.0,86.15,349.4,1103.0,5712.0,4.359,0.1,1.082,0.976,,292.16705,48.727589,15.263,Confirmed,2.0,5.15e-07,1.038448977897661e-07,0,8.27e-05,4.800923378602724e-07,0,0.0075,0.0033671696469859337,0,20.0,0.0020403999183840034,0,0.0006595,0.006379438764159065,0.0,1,0,0,10687.217641000001,0.09030990012242411,0.018713841981225495,490.1,296.98533333333336,0.0,1.0,,,,,,,,,,
39,11152159,FALSE POSITIVE,2.701287801,5.634e-06,-5.634e-06,170.69579,0.00164,-0.00164,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,0.06584,3.758761,-0.032101,6.54,2.22,1.016,0.0,62.69,527.81,1222.0,5550.0,4.468,-0.04,0.91,0.889,,297.92365,48.777321,15.54,False Positive,0.0,5.634e-06,2.0856718776556604e-06,0,0.00164,9.607735492480512e-06,0,0.0892,0.026369468176308867,0,20.9,0.024291027429102743,0,1.8954309999999999,28.788441676792225,0.0,1,0,0,4334.905599999999,4.038244537424453,0.05217727384736867,41.16746411483254,37.92264573991031,0.0,1.0,,,,,,,,,,
40,11153539,CONFIRMED,4.49876511,1.777e-05,-1.777e-05,171.34905,0.003,-0.003,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,0.019817,0.000458,-0.000789,2.1,8.95,0.312,0.0,88.0,389.62,1133.0,6075.0,4.486,-0.12,0.969,1.048,,298.45685,48.791592,15.395,Confirmed,2.0,1.777e-05,3.949972840435761e-06,0,0.003,1.7508121579897875e-05,0,0.0934,0.02499866174187677,0,17.5,0.03804347826086957,0,0.0006235,0.03146288540142302,0.0,1,0,0,392.71348900000004,0.1462750239130434,0.03460394045778487,26.285714285714285,40.00214132762313,0.0,0.0,,,,,,,,,,
41,11242721,FALSE POSITIVE,19.651209505,5.862e-06,-5.862e-06,179.401981,0.000249,-0.000249,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,0.106953,0.000536,-5.1e-05,12.42,23.98,0.723,0.0,88.27,67.03,730.0,6074.0,4.391,-0.12,1.063,1.014,,291.0939,48.933842,15.536,False Positive,0.0,5.862e-06,2.983022494624816e-07,0,0.000249,1.3879445400326987e-06,0,0.0179,0.003408614845564992,0,27.7,0.0023542410334863166,0,0.00029350000000000003,0.002744196048731686,0.0,1,0,0,11438.944209000001,0.027796684599693935,0.011134598777630473,424.7653429602888,293.3743016759777,0.0,0.0,,,,,,,,,,
42,9579641,CONFIRMED,5.412203927,3.052e-06,-3.052e-06,133.143089,0.000468,-0.000468,2.9472,0.024,-0.024,601.6,4.0,-4.0,0.024775,6e-05,-0.001886,2.94,9.25,0.787,0.0,85.12,337.68,1093.0,5779.0,4.339,-0.06,1.087,0.941,,287.88733,46.276241,12.791,Confirmed,2.0,3.052e-06,5.639107545032458e-07,0,0.000468,3.5150153381224316e-06,0,0.024,0.008143322475570033,0,4.0,0.006648936170212766,0,0.000973,0.039273461150353184,0.0,1,0,0,613.800625,0.020280294215425442,0.022689462861401898,150.4,122.8,0.0,0.0,,,,,,,,,,
43,11304958,CONFIRMED,41.43958662,7.557e-05,-7.557e-05,208.93203,0.00142,-0.00142,10.5989,0.088,-0.088,2793.1,22.6,-22.6,0.048175,0.000284,-0.001083,5.5,29.47,0.355,0.0,89.31,16.72,516.0,5468.0,4.367,0.22,1.046,0.93,,295.55505,49.017342,15.4,Confirmed,2.0,7.557e-05,1.8236185773997955e-06,0,0.00142,6.796468688884131e-06,0,0.088,0.008302748398418703,0,22.6,0.008091368014034586,0,0.0006835,0.014187856772184742,0.0,1,0,0,2320.8306250000005,0.16908430596827875,0.01065697969873555,123.58849557522123,120.44204545454546,0.0,0.0,,,,,,,,,,
44,11391957,CONFIRMED,8.35389523,1.524e-05,-1.524e-05,171.63257,0.00133,-0.00133,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,0.029305,0.000955,-0.000532,2.52,29.18,0.023,0.0,89.95,91.9,790.0,5592.0,4.582,-0.28,0.787,0.862,,285.49924,49.277351,15.317,Confirmed,2.0,1.524e-05,1.8242986750984189e-06,0,0.00133,7.749111954683195e-06,0,0.0518,0.02300790619170294,0,28.2,0.02707373271889401,0,0.0007435,0.025371097082409144,0.0,1,0,0,858.7830250000001,0.17551552899385547,0.01122929253367394,36.93617021276596,43.463320463320464,0.0,0.0,,,,,,,,,,
45,11403044,CONFIRMED,4.125543472,3.133e-06,-3.133e-06,169.752585,0.000613,-0.000613,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,0.036796,0.00263,-0.001282,4.43,8.45,0.597,0.0,85.95,565.35,1243.0,6174.0,4.417,0.1,1.103,1.162,,291.93616,49.253979,15.506,Confirmed,2.0,3.133e-06,7.594150979776658e-07,0,0.000613,3.611137939372175e-06,0,0.0362,0.01140372983870968,0,13.3,0.008942378807234587,0,0.001956,0.05315795195129905,0.0,1,0,0,1353.9456160000002,0.08966206145364067,0.03206042247872516,111.82706766917292,87.69060773480662,0.0,0.0,,,,,,,,,,
46,11414511,CONFIRMED,2.816504904,1.65e-07,-1.65e-07,170.9676846,4.66e-05,-4.66e-05,2.50587,0.00666,-0.00666,16814.0,11.0,-11.0,0.117059,0.001834,-0.000297,12.21,9.571,0.105,0.0,89.37,521.13,1219.0,5532.0,4.452,0.14,0.955,0.941,,297.01547,49.225288,15.052,Confirmed,2.0,1.65e-07,5.858324612382781e-08,0,4.66e-05,2.725661291432147e-07,0,0.00666,0.0026577595805049744,0,11.0,0.0006542167241584394,0,0.0010655,0.00910224758455138,0.0,1,0,0,13702.809480999998,0.18503571541572508,0.03707121185967585,1528.5454545454545,376.2567567567567,0.0,0.0,,,,,,,,,,
47,11442465,FALSE POSITIVE,33.93373447,6.154e-05,-6.154e-05,186.67608,0.00137,-0.00137,14.561,0.104,-0.104,8503.7,44.3,-44.3,0.095386,0.000555,-0.000616,7.34,13.12,0.812,0.0,86.45,8.11,430.0,5040.0,4.628,-0.24,0.705,0.782,,284.17233,49.360722,15.716,False Positive,0.0,6.154e-05,1.813534553775861e-06,0,0.00137,7.338915623254997e-06,0,0.104,0.007142366595700844,0,44.3,0.005209497042463868,0,0.0005855000000000001,0.0061382173484578455,0.0,1,0,0,9098.488996,0.0699447294707009,0.017879209076434237,191.95711060948085,140.0096153846154,0.0,1.0,,,,,,,,,,
48,12110942,CONFIRMED,3.689920099,8.982e-06,-8.982e-06,170.36571,0.00191,-0.00191,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,0.018878,0.000671,-0.00037,1.89,10.71,0.151,0.0,89.19,408.99,1147.0,5880.0,4.518,-0.06,0.917,1.01,,291.62241,50.61824,15.242,Confirmed,2.0,8.982e-06,2.434199050118781e-06,0,0.00191,1.121117623963179e-05,0,0.0677,0.025492337236886695,0,13.8,0.03234122334192641,0,0.0005205,0.027571776671257552,0.0,1,0,0,356.37888399999997,0.1648022404499649,0.029988228389187854,30.92028985507246,39.2274741506647,0.0,0.0,,,,,,,,,,
49,12366084,CONFIRMED,4.431238488,6.106e-06,-6.106e-06,171.015,0.00111,-0.00111,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,0.02933,0.000228,-0.000889,3.25,10.19,0.405,0.0,87.72,351.23,1104.0,5714.0,4.428,0.16,1.015,1.007,,295.81616,51.121738,15.367,Confirmed,2.0,6.106e-06,1.3779443414150089e-06,0,0.00111,6.490658714147883e-06,0,0.0423,0.013428571428571429,0,15.2,0.015036106439806112,0,0.0005585,0.019041936583702693,0.0,1,0,0,860.2488999999999,0.1490267088732813,0.029619258894647876,66.50657894736842,74.46808510638299,0.0,0.0,,,,,,,,,,
50,12366084,CONFIRMED,11.37936986,2.415e-05,-2.415e-05,133.84992,0.00183,-0.00183,2.6255,0.073,-0.073,1023.5,29.7,-29.7,0.035628,0.000101,-0.006092,3.95,16.31,0.911,0.0,86.8,99.68,806.0,5714.0,4.428,0.16,1.015,1.007,,295.81616,51.121738,15.367,Confirmed,2.0,2.415e-05,2.122261627587171e-06,0,0.00183,1.36720290904918e-05,0,0.073,0.02780422776613978,0,29.7,0.029018075232046896,0,0.0030965000000000003,0.0869119793420905,0.0,1,0,0,1269.354384,0.24020946165119686,0.009613522952432917,34.46127946127946,35.96575342465754,0.0,1.0,,,,,,,,,,
51,12404086,CONFIRMED,26.39432897,5.724e-05,-5.724e-05,176.05459,0.00176,-0.00176,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,0.03681,0.004201,-0.0019,3.07,47.7,0.602,0.0,89.28,13.49,489.0,5129.0,4.595,0.02,0.763,0.846,,289.39972,51.25032,15.234,Confirmed,2.0,5.724e-05,2.168647669166336e-06,0,0.00176,9.996899257213347e-06,0,0.0643,0.01799608172404142,0,36.3,0.02402541531537494,0,0.0030505,0.0828715023091551,0.0,1,0,0,1354.9761,0.1031993513799722,0.005640416173080683,41.62258953168045,55.56765163297045,0.0,0.0,,,,,,,,,,
