rowid,star_id,label_raw,period,period_err1,period_err2,t0_bjd,t0_bjd_err1,t0_bjd_err2,dur_h,dur_h_err1,dur_h_err2,depth_ppm,depth_ppm_err1,depth_ppm_err2,ror,ror_err1,ror_err2,rade_Re,a_over_rs,impact,ecc,incl_deg,insol_S,eqt_K,teff_K,logg_cgs,feh_dex,rad_Rs,mass_Ms,age_Gyr,ra_deg,dec_deg,mag_Kepler,label,label_int,period_err_mean,period_rel_err,period_missing,t0_bjd_err_mean,t0_bjd_rel_err,t0_bjd_missing,dur_h_err_mean,dur_h_rel_err,dur_h_missing,depth_ppm_err_mean,depth_ppm_rel_err,depth_ppm_missing,ror_err_mean,ror_rel_err,ror_missing,is_kepler,is_k2,is_tess,depth_from_ror_ppm,depth_consistency,dur_frac,depth_snr,dur_snr,ecc_flag,high_b,mag_T,dist_pc,pm_ra_masyr,pm_dec_masyr,pm_tot,a_over_rs_err1,a_over_rs_err2,a_over_rs_err_mean,a_over_rs_rel_err,a_over_rs_missing
11,11446443,CONFIRMED,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,1.74319,0.00107,-0.00107,14231.0,4.2,-4.2,0.123871,5.1e-05,-7.1e-05,13.04,8.3977,0.818,0.0,84.41,761.46,1339.0,5820.0,4.457,-0.06,0.964,0.971,,286.80847,49.316399,11.338,Confirmed,2.0,2.7e-08,1.0928460216136846e-08,0,8.7e-06,7.086808228240515e-08,0,0.00107,0.0006138171972074186,0,4.2,0.00029513034923757994,0,6.1000000000000005e-05,0.0004924477884250552,0.0,1,0,0,15344.024641,0.07821127404961001,0.029398738524949983,3388.333333333333,1629.1495327102805,0.0,1.0,,,,,,,,,,
12,10666592,CONFIRMED,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,0.075522,0.000298,-0.00035,16.1,4.602,0.224,0.0,87.21,4148.92,2048.0,6440.0,4.019,0.14,1.952,1.449,,292.24728,47.969521,10.463,Confirmed,2.0,4.3e-08,1.9503474053367554e-08,0,1.6e-05,1.3184074046928003e-07,0,0.00203,0.0005220334101382489,0,1.7,0.000254693094820741,0,0.00032399999999999996,0.004290140621275919,0.0,1,0,0,5703.572484000001,0.14549380736212844,0.0734902997508597,3926.294117647059,1915.5862068965516,0.0,0.0,,,,,,,,,,
13,6922244,CONFIRMED,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,0.092086,0.000141,-0.000177,14.59,7.541,0.631,0.0,85.2,1264.67,1521.0,6225.0,4.169,-0.04,1.451,1.132,,281.28812,42.45108,13.563,Confirmed,2.0,1.98e-07,5.621010313870036e-08,0,4.71e-05,3.888723947914983e-07,0,0.00653,0.002041626673086483,0,6.6,0.0007216506117629049,0,0.00015900000000000002,0.001726646830137046,0.0,1,0,0,8479.831396,0.07280674021671399,0.03783335020663161,1385.7121212121215,489.80551301684534,0.0,0.0,,,,,,,,,,
14,10984090,CONFIRMED,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,2.6302,0.0427,-0.0427,131.1,3.0,-3.0,0.010424,0.000318,-0.000147,1.16,10.888,0.051,0.0,89.73,500.46,1206.0,5833.0,4.407,-0.04,1.022,0.974,,295.64871,48.49556,12.772,Confirmed,2.0,6.536e-06,1.7620983358581556e-06,0,0.00143,1.0672981489169014e-05,0,0.0427,0.016234506881605965,0,3.0,0.022883295194508012,0,0.00023249999999999999,0.022304297774366846,0.0,1,0,0,108.65977599999998,0.17116875667429454,0.02954579153262776,43.699999999999996,61.59718969555035,0.0,0.0,,,,,,,,,,
16,10464078,FALSE POSITIVE,19.40393776,2.068e-05,-2.068e-05,172.484253,0.000842,-0.000842,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,0.096729,0.000533,-0.000532,7.18,9.099,0.804,0.0,84.93,17.69,523.0,5043.0,4.591,-0.54,0.68,0.657,,289.25821,47.635319,15.487,False Positive,0.0,2.068e-05,1.0657630557149343e-06,0,0.000842,4.881605047157551e-06,0,0.0598,0.004895419753591748,0,53.3,0.005976207294785114,0,0.0005325,0.005505070868095401,0.0,1,0,0,9356.499441,0.049087808873490436,0.02623071527862222,167.3302063789869,204.27257525083613,0.0,1.0,,,,,,,,,,
17,10480982,FALSE POSITIVE,19.221388942,1.123e-06,-1.123e-06,184.5521637,4.5e-05,-4.5e-05,4.79843,0.00235,-0.00235,74284.0,21.9,-21.9,0.476633,0.024501,-0.027744,49.29,31.323,1.065,0.0,88.05,55.97,698.0,6117.0,4.496,-0.22,0.947,1.025,,295.81454,47.69035,15.341,False Positive,0.0,1.123e-06,5.8424498010451845e-08,0,4.5e-05,2.4383349995912296e-07,0,0.00235,0.0004897435202764238,0,21.9,0.00029481449571913194,0,0.0261225,0.054806318488228895,0.0,1,0,0,227179.01668899998,2.0582496458052875,0.010401672009063981,3391.963470319635,2041.8851063829786,0.0,1.0,,,,,,,,,,
18,10485250,FALSE POSITIVE,16.46983774,1.361e-05,-1.361e-05,180.881761,0.000623,-0.000623,9.4378,0.06,-0.06,10479.0,39.9,-39.9,0.092509,0.000598,-0.001109,7.94,14.05,0.292,0.0,88.81,29.61,595.0,5152.0,4.517,-0.2,0.786,0.741,,297.15442,47.668701,15.788,False Positive,0.0,1.361e-05,8.263590822722945e-07,0,0.000623,3.4442389136182722e-06,0,0.06,0.006357413804064507,0,39.9,0.003807615230460922,0,0.0008535,0.009226129349576798,0.0,1,0,0,8557.915081,0.18332712272163382,0.023876474855098764,262.63157894736844,157.29666666666665,0.0,0.0,,,,,,,,,,
19,10526549,CONFIRMED,9.27358173,1.037e-05,-1.037e-05,173.258155,0.000877,-0.000877,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,0.032563,0.003061,-0.00063,2.47,20.65,0.387,0.0,88.93,41.85,649.0,4856.0,4.583,-0.3,0.696,0.676,,288.13824,47.724449,15.302,Confirmed,2.0,1.037e-05,1.1182302913720048e-06,0,0.000877,5.061810799035693e-06,0,0.0309,0.009399239543726236,0,16.8,0.013040440891096796,0,0.0018455,0.056674753554647905,0.0,1,0,0,1060.3489690000001,0.17693940153690899,0.014770901972378118,76.68452380952381,106.3915857605178,0.0,0.0,,,,,,,,,,
20,10583066,CONFIRMED,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,0.038838,0.001021,-0.001203,2.85,29.31,0.258,0.0,89.5,50.04,678.0,4537.0,4.648,0.21,0.672,0.761,,283.71088,47.86327,15.784,Confirmed,2.0,5.509e-06,9.137042432642331e-07,0,0.000713,4.154940008930732e-06,0,0.0311,0.019657417356677833,0,34.4,0.01798504731531343,0,0.0011120000000000001,0.028631752407436022,0.0,1,0,0,1508.3902439999997,0.21138168871229168,0.01093340808425866,55.60174418604652,50.87138263665595,0.0,0.0,,,,,,,,,,
21,10583180,FALSE POSITIVE,2.696370652,7.534e-06,-7.534e-06,170.73769,0.00234,-0.00234,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,0.017673,0.000551,-0.000311,1.58,5.827,0.044,0.0,89.56,305.34,1066.0,4989.0,4.504,0.1,0.819,0.781,,283.76547,47.804298,15.269,False Positive,0.0,7.534e-06,2.794126243145299e-06,0,0.00234,1.3705234034734804e-05,0,0.0686,0.018987516953140136,0,9.5,0.023875345564212114,0,0.00043099999999999996,0.024387483732246928,0.0,1,0,0,312.33492900000005,0.21504164614224663,0.05582967604559137,41.88421052631579,52.6661807580175,0.0,0.0,,,,,,,,,,
22,10601284,CONFIRMED,5.349553819,8.834e-06,-8.834e-06,171.80694,0.00127,-0.00127,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,0.025706,0.000845,-0.000453,2.55,13.8015,0.092,0.0,89.62,168.99,919.0,5185.0,4.44,0.16,0.91,0.831,,292.37613,47.880989,15.416,Confirmed,2.0,8.834e-06,1.6513526733060054e-06,0,0.00127,7.39201804071477e-06,0,0.0471,0.015555849131382523,0,14.8,0.017809867629362215,0,0.0006490000000000001,0.025247024041079907,0.0,1,0,0,660.7984359999999,0.204815359807461,0.02358296366423253,56.148648648648646,64.28450106157112,0.0,0.0,,,,,,,,,,
23,10601284,CONFIRMED,3.94105221,1.094e-05,-1.094e-05,136.08662,0.00233,-0.00233,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,0.017105,0.000703,-0.000557,1.7,11.51,0.226,0.0,88.88,253.15,1018.0,5185.0,4.44,0.16,0.91,0.831,,292.37613,47.880989,15.416,Confirmed,2.0,1.094e-05,2.775908416600246e-06,0,0.00233,1.7121448089459493e-05,0,0.0737,0.028363608374384237,0,13.9,0.03826039086154693,0,0.0006299999999999999,0.03683133586670564,0.0,1,0,0,292.58102499999995,0.1946572391962567,0.027471512910169405,26.136690647482016,35.25644504748982,0.0,0.0,,,,,,,,,,
24,10601284,CONFIRMED,8.10904807,6.787e-05,-6.787e-05,132.8031,0.00716,-0.00716,3.596,0.198,-0.198,217.4,16.8,-16.8,0.013127,0.00087,-0.000503,1.3,17.46,0.025,0.0,89.92,97.03,800.0,5185.0,4.44,0.16,0.91,0.831,,292.37613,47.880989,15.416,Confirmed,2.0,6.787e-05,8.369663049734516e-06,0,0.00716,5.391440410653064e-05,0,0.198,0.05506117908787542,0,16.8,0.07727690892364306,0,0.0006865,0.05229679286965796,0.0,1,0,0,172.318129,0.20736831186752533,0.018477302396029988,12.94047619047619,18.161616161616163,0.0,0.0,,,,,,,,,,
